;Scopy version,f4beeb1
;Exported on,vendredi octobre 10/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH2(V)
5044,-2.956,0.25023
5045,-2.955,0.25023
5046,-2.954,0.25023
5047,-2.953,0.25023
5048,-2.952,0.25023
5049,-2.951,0.25023
5050,-2.95,0.25023
5051,-2.949,0.25023
5052,-2.948,0.25023
5053,-2.947,0.25023
5054,-2.946,0.25023
5055,-2.945,0.25023
5056,-2.944,0.25023
5057,-2.943,0.25023
5058,-2.942,0.25023
5059,-2.941,0.25023
5060,-2.94,0.25023
5061,-2.939,0.25023
5062,-2.938,0.25023
5063,-2.937,0.25023
5064,-2.936,0.25023
5065,-2.935,0.25023
5066,-2.934,0.25023
5067,-2.933,0.25023
5068,-2.932,0.25023
5069,-2.931,0.25023
5070,-2.93,0.25023
5071,-2.929,0.25023
5072,-2.928,0.25023
5073,-2.927,0.25023
5074,-2.926,0.25023
5075,-2.925,0.25023
5076,-2.924,0.25023
5077,-2.923,0.25023
5078,-2.922,0.25023
5079,-2.921,0.25023
5080,-2.92,0.25023
5081,-2.919,0.25023
5082,-2.918,0.25023
5083,-2.917,0.25023
5084,-2.916,0.25023
5085,-2.915,0.25023
5086,-2.914,0.25023
5087,-2.913,0.25023
5088,-2.912,0.25023
5089,-2.911,0.25023
5090,-2.91,0.25023
5091,-2.909,0.25023
5092,-2.908,0.25023
5093,-2.907,0.25023
5094,-2.906,0.25023
5095,-2.905,0.25023
5096,-2.904,0.25023
5097,-2.903,0.25023
5098,-2.902,0.25023
5099,-2.901,0.25023
5100,-2.9,0.25023
5101,-2.899,0.25023
5102,-2.898,0.25023
5103,-2.897,0.25023
5104,-2.896,0.25023
5105,-2.895,0.25023
5106,-2.894,0.25023
5107,-2.893,0.25023
5108,-2.892,0.25023
5109,-2.891,0.25023
5110,-2.89,0.25023
5111,-2.889,0.25023
5112,-2.888,0.25023
5113,-2.887,0.25023
5114,-2.886,0.25023
5115,-2.885,0.25023
5116,-2.884,0.25023
5117,-2.883,0.25023
5118,-2.882,0.25023
5119,-2.881,0.25023
5120,-2.88,0.25023
5121,-2.879,0.25023
5122,-2.878,0.25023
5123,-2.877,0.25023
5124,-2.876,0.25023
5125,-2.875,0.25023
5126,-2.874,0.25023
5127,-2.873,0.25023
5128,-2.872,0.25023
5129,-2.871,0.25023
5130,-2.87,0.25023
5131,-2.869,0.25023
5132,-2.868,0.25023
5133,-2.867,0.25023
5134,-2.866,0.25023
5135,-2.865,0.25023
5136,-2.864,0.25023
5137,-2.863,0.25023
5138,-2.862,0.25023
5139,-2.861,0.25023
5140,-2.86,0.25023
5141,-2.859,0.25023
5142,-2.858,0.25023
5143,-2.857,0.25023
5144,-2.856,0.25023
5145,-2.855,0.25023
5146,-2.854,0.25023
5147,-2.853,0.25023
5148,-2.852,0.25023
5149,-2.851,0.25023
5150,-2.85,0.25023
5151,-2.849,0.25023
5152,-2.848,0.25023
5153,-2.847,0.25023
5154,-2.846,0.25023
5155,-2.845,0.25023
5156,-2.844,0.25023
5157,-2.843,0.25023
5158,-2.842,0.25023
5159,-2.841,0.25023
5160,-2.84,0.25023
5161,-2.839,0.25023
5162,-2.838,0.25023
5163,-2.837,0.25023
5164,-2.836,0.25023
5165,-2.835,0.25023
5166,-2.834,0.25023
5167,-2.833,0.25023
5168,-2.832,0.25023
5169,-2.831,0.25023
5170,-2.83,0.25023
5171,-2.829,0.25023
5172,-2.828,0.25023
5173,-2.827,0.25023
5174,-2.826,0.25023
5175,-2.825,0.25023
5176,-2.824,0.25023
5177,-2.823,0.25023
5178,-2.822,0.25023
5179,-2.821,0.25023
5180,-2.82,0.25023
5181,-2.819,0.25023
5182,-2.818,0.25023
5183,-2.817,0.25023
5184,-2.816,0.25023
5185,-2.815,0.25023
5186,-2.814,0.25023
5187,-2.813,0.25023
5188,-2.812,0.25023
5189,-2.811,0.25023
5190,-2.81,0.25023
5191,-2.809,0.25023
5192,-2.808,0.25023
5193,-2.807,0.25023
5194,-2.806,0.25023
5195,-2.805,0.25023
5196,-2.804,0.25023
5197,-2.803,0.25023
5198,-2.802,0.25023
5199,-2.801,0.25023
5200,-2.8,0.25023
5201,-2.799,0.25023
5202,-2.798,0.25023
5203,-2.797,0.25023
5204,-2.796,0.25023
5205,-2.795,0.25023
5206,-2.794,0.25023
5207,-2.793,0.25023
5208,-2.792,0.25023
5209,-2.791,0.25023
5210,-2.79,0.25023
5211,-2.789,0.25023
5212,-2.788,0.25023
5213,-2.787,0.25023
5214,-2.786,0.25023
5215,-2.785,0.25023
5216,-2.784,0.25023
5217,-2.783,0.25023
5218,-2.782,0.25023
5219,-2.781,0.25023
5220,-2.78,0.25023
5221,-2.779,0.25023
5222,-2.778,0.25023
5223,-2.777,0.25023
5224,-2.776,0.25023
5225,-2.775,0.25023
5226,-2.774,0.25023
5227,-2.773,0.25023
5228,-2.772,0.25023
5229,-2.771,0.25023
5230,-2.77,0.25023
5231,-2.769,0.25023
5232,-2.768,0.25023
5233,-2.767,0.25023
5234,-2.766,0.25023
5235,-2.765,0.25023
5236,-2.764,0.25023
5237,-2.763,0.25023
5238,-2.762,0.25023
5239,-2.761,0.25023
5240,-2.76,0.25023
5241,-2.759,0.25023
5242,-2.758,0.25023
5243,-2.757,0.25023
5244,-2.756,0.25023
5245,-2.755,0.25023
5246,-2.754,0.25023
5247,-2.753,0.25023
5248,-2.752,0.25023
5249,-2.751,0.25023
5250,-2.75,0.25023
5251,-2.749,0.25023
5252,-2.748,0.25023
5253,-2.747,0.25023
5254,-2.746,0.25023
5255,-2.745,0.25023
5256,-2.744,0.25023
5257,-2.743,0.25023
5258,-2.742,0.25023
5259,-2.741,0.25023
5260,-2.74,0.25023
5261,-2.739,0.25023
5262,-2.738,0.25023
5263,-2.737,0.25023
5264,-2.736,0.25023
5265,-2.735,0.25023
5266,-2.734,0.25023
5267,-2.733,0.25023
5268,-2.732,0.25023
5269,-2.731,0.25023
5270,-2.73,0.25023
5271,-2.729,0.25023
5272,-2.728,0.25023
5273,-2.727,0.25023
5274,-2.726,0.25023
5275,-2.725,0.25023
5276,-2.724,0.25023
5277,-2.723,0.25023
5278,-2.722,0.25023
5279,-2.721,0.25023
5280,-2.72,0.25023
5281,-2.719,0.25023
5282,-2.718,0.25023
5283,-2.717,0.25023
5284,-2.716,0.25023
5285,-2.715,0.25023
5286,-2.714,0.25023
5287,-2.713,0.25023
5288,-2.712,0.25023
5289,-2.711,0.25023
5290,-2.71,0.25023
5291,-2.709,0.25023
5292,-2.708,0.25023
5293,-2.707,0.25023
5294,-2.706,0.25023
5295,-2.705,0.25023
5296,-2.704,0.25023
5297,-2.703,0.25023
5298,-2.702,0.25023
5299,-2.701,0.25023
5300,-2.7,0.25023
5301,-2.699,0.25023
5302,-2.698,0.25023
5303,-2.697,0.25023
5304,-2.696,0.25023
5305,-2.695,0.25023
5306,-2.694,0.25023
5307,-2.693,0.25023
5308,-2.692,0.25023
5309,-2.691,0.25023
5310,-2.69,0.25023
5311,-2.689,0.25023
5312,-2.688,0.25023
5313,-2.687,0.25023
5314,-2.686,0.25023
5315,-2.685,0.25023
5316,-2.684,0.25023
5317,-2.683,0.25023
5318,-2.682,0.25023
5319,-2.681,0.25023
5320,-2.68,0.25023
5321,-2.679,0.25023
5322,-2.678,0.25023
5323,-2.677,0.25023
5324,-2.676,0.25023
5325,-2.675,0.25023
5326,-2.674,0.25023
5327,-2.673,0.25023
5328,-2.672,0.25023
5329,-2.671,0.25023
5330,-2.67,0.25023
5331,-2.669,0.25023
5332,-2.668,0.25023
5333,-2.667,0.25023
5334,-2.666,0.25023
5335,-2.665,0.25023
5336,-2.664,0.25023
5337,-2.663,0.25023
5338,-2.662,0.25023
5339,-2.661,0.25023
5340,-2.66,0.25023
5341,-2.659,0.25023
5342,-2.658,0.25023
5343,-2.657,0.25023
5344,-2.656,0.25023
5345,-2.655,0.25023
5346,-2.654,0.25023
5347,-2.653,0.25023
5348,-2.652,0.25023
5349,-2.651,0.25023
