;Scopy version,f4beeb1
;Exported on,vendredi octobre 10/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
3375,-9.625,0.119058
3376,-9.624,0.119058
3377,-9.623,0.119058
3378,-9.622,0.119058
3379,-9.621,0.119058
3380,-9.62,0.119058
3381,-9.619,0.119058
3382,-9.618,0.119058
3383,-9.617,0.119058
3384,-9.616,0.119058
3385,-9.615,0.119058
3386,-9.614,0.119058
3387,-9.613,0.119058
3388,-9.612,0.119058
3389,-9.611,0.119058
3390,-9.61,0.119058
3391,-9.609,0.119058
3392,-9.608,0.119058
3393,-9.607,0.119058
3394,-9.606,0.119058
3395,-9.605,0.119058
3396,-9.604,0.119058
3397,-9.603,0.119058
3398,-9.602,0.119058
3399,-9.601,0.119058
3400,-9.6,0.119058
3401,-9.599,0.119058
3402,-9.598,0.119058
3403,-9.597,0.119058
3404,-9.596,0.119058
3405,-9.595,0.119058
3406,-9.594,0.119058
3407,-9.593,0.119058
3408,-9.592,0.119058
3409,-9.591,0.119058
3410,-9.59,0.119058
3411,-9.589,0.119058
3412,-9.588,0.119058
3413,-9.587,0.119058
3414,-9.586,0.119058
3415,-9.585,0.119058
3416,-9.584,0.119058
3417,-9.583,0.119058
3418,-9.582,0.119058
3419,-9.581,0.119058
3420,-9.58,0.119058
3421,-9.579,0.119058
3422,-9.578,0.119058
3423,-9.577,0.119058
3424,-9.576,0.119058
3425,-9.575,0.119058
3426,-9.574,0.119058
3427,-9.573,0.119058
3428,-9.572,0.119058
3429,-9.571,0.119058
3430,-9.57,0.119058
3431,-9.569,0.119058
3432,-9.568,0.119058
3433,-9.567,0.119058
3434,-9.566,0.119058
3435,-9.565,0.119058
3436,-9.564,0.119058
3437,-9.563,0.119058
3438,-9.562,0.119058
3439,-9.561,0.119058
3440,-9.56,0.119058
3441,-9.559,0.119058
3442,-9.558,0.119058
3443,-9.557,0.119058
3444,-9.556,0.119058
3445,-9.555,0.119058
3446,-9.554,0.119058
3447,-9.553,0.119058
3448,-9.552,0.119058
3449,-9.551,0.119058
3450,-9.55,0.119058
3451,-9.549,0.119058
3452,-9.548,0.119058
3453,-9.547,0.119058
3454,-9.546,0.119058
3455,-9.545,0.119058
3456,-9.544,0.119058
3457,-9.543,0.119058
3458,-9.542,0.119058
3459,-9.541,0.119058
3460,-9.54,0.119058
3461,-9.539,0.119058
3462,-9.538,0.119058
3463,-9.537,0.119058
3464,-9.536,0.119058
3465,-9.535,0.119058
3466,-9.534,0.119058
3467,-9.533,0.119058
3468,-9.532,0.119058
3469,-9.531,0.119058
3470,-9.53,0.119058
3471,-9.529,0.119058
3472,-9.528,0.119058
3473,-9.527,0.119058
3474,-9.526,0.119058
3475,-9.525,0.119058
3476,-9.524,0.119058
3477,-9.523,0.119058
3478,-9.522,0.119058
3479,-9.521,0.119058
3480,-9.52,0.119058
3481,-9.519,0.119058
3482,-9.518,0.119058
3483,-9.517,0.119058
3484,-9.516,0.119058
3485,-9.515,0.119058
3486,-9.514,0.119058
3487,-9.513,0.119058
3488,-9.512,0.119058
3489,-9.511,0.119058
3490,-9.51,0.119058
3491,-9.509,0.119058
3492,-9.508,0.119058
3493,-9.507,0.119058
3494,-9.506,0.119058
3495,-9.505,0.119058
3496,-9.504,0.119058
3497,-9.503,0.119058
3498,-9.502,0.119058
3499,-9.501,0.119058
3500,-9.5,0.119058
3501,-9.499,0.119058
3502,-9.498,0.119058
3503,-9.497,0.119058
3504,-9.496,0.119058
3505,-9.495,0.119058
3506,-9.494,0.119058
3507,-9.493,0.119058
3508,-9.492,0.119058
3509,-9.491,0.119058
3510,-9.49,0.119058
3511,-9.489,0.119058
3512,-9.488,0.119058
3513,-9.487,0.119058
3514,-9.486,0.119058
3515,-9.485,0.119058
3516,-9.484,0.119058
3517,-9.483,0.119058
3518,-9.482,0.119058
3519,-9.481,0.119058
3520,-9.48,0.119058
3521,-9.479,0.119058
3522,-9.478,0.119058
3523,-9.477,0.119058
3524,-9.476,0.119058
3525,-9.475,0.119058
3526,-9.474,0.119058
3527,-9.473,0.119058
3528,-9.472,0.119058
3529,-9.471,0.119058
3530,-9.47,0.119058
3531,-9.469,0.119058
3532,-9.468,0.119058
3533,-9.467,0.119058
3534,-9.466,0.119058
3535,-9.465,0.119058
3536,-9.464,0.119058
3537,-9.463,0.119058
3538,-9.462,0.119058
3539,-9.461,0.119058
3540,-9.46,0.119058
3541,-9.459,0.119058
3542,-9.458,0.119058
3543,-9.457,0.119058
3544,-9.456,0.119058
3545,-9.455,0.119058
3546,-9.454,0.119058
3547,-9.453,0.119058
3548,-9.452,0.119058
3549,-9.451,0.119058
3550,-9.45,0.119058
3551,-9.449,0.119058
3552,-9.448,0.119058
3553,-9.447,0.119058
3554,-9.446,0.119058
3555,-9.445,0.119058
3556,-9.444,0.119058
3557,-9.443,0.119058
3558,-9.442,0.119058
3559,-9.441,0.119058
3560,-9.44,0.119058
3561,-9.439,0.119058
3562,-9.438,0.119058
3563,-9.437,0.119058
3564,-9.436,0.119058
3565,-9.435,0.119058
3566,-9.434,0.119058
3567,-9.433,0.119058
3568,-9.432,0.119058
3569,-9.431,0.119058
3570,-9.43,0.119058
3571,-9.429,0.119058
3572,-9.428,0.119058
3573,-9.427,0.119058
3574,-9.426,0.119058
3575,-9.425,0.119058
3576,-9.424,0.119058
3577,-9.423,0.119058
3578,-9.422,0.119058
3579,-9.421,0.119058
3580,-9.42,0.119058
3581,-9.419,0.119058
3582,-9.418,0.119058
3583,-9.417,0.119058
3584,-9.416,0.119058
3585,-9.415,0.119058
3586,-9.414,0.119058
3587,-9.413,0.119058
3588,-9.412,0.119058
3589,-9.411,0.119058
3590,-9.41,0.119058
3591,-9.409,0.119058
3592,-9.408,0.119058
3593,-9.407,0.119058
3594,-9.406,0.119058
3595,-9.405,0.119058
3596,-9.404,0.119058
3597,-9.403,0.119058
3598,-9.402,0.119058
3599,-9.401,0.119058
3600,-9.4,0.119058
3601,-9.399,0.119058
3602,-9.398,0.119058
3603,-9.397,0.119058
3604,-9.396,0.119058
3605,-9.395,0.119058
3606,-9.394,0.119058
3607,-9.393,0.119058
3608,-9.392,0.119058
3609,-9.391,0.119058
3610,-9.39,0.119058
3611,-9.389,0.119058
3612,-9.388,0.119058
3613,-9.387,0.119058
3614,-9.386,0.119058
3615,-9.385,0.119058
3616,-9.384,0.119058
3617,-9.383,0.119058
3618,-9.382,0.119058
3619,-9.381,0.119058
3620,-9.38,0.119058
3621,-9.379,0.119058
3622,-9.378,0.119058
3623,-9.377,0.119058
3624,-9.376,0.119058
3625,-9.375,0.119058
3626,-9.374,0.119058
3627,-9.373,0.119058
3628,-9.372,0.119058
3629,-9.371,0.119058
3630,-9.37,0.119058
3631,-9.369,0.119058
3632,-9.368,0.119058
3633,-9.367,0.119058
3634,-9.366,0.119058
3635,-9.365,0.119058
3636,-9.364,0.119058
3637,-9.363,0.119058
3638,-9.362,0.119058
3639,-9.361,0.119058
3640,-9.36,0.119058
3641,-9.359,0.119058
3642,-9.358,0.119058
3643,-9.357,0.119058
3644,-9.356,0.119058
3645,-9.355,0.119058
3646,-9.354,0.119058
3647,-9.353,0.119058
3648,-9.352,0.119058
3649,-9.351,0.119058
3650,-9.35,0.119058
3651,-9.349,0.119058
3652,-9.348,0.119058
3653,-9.347,0.119058
3654,-9.346,0.119058
3655,-9.345,0.119058
3656,-9.344,0.119058
3657,-9.343,0.119058
3658,-9.342,0.119058
3659,-9.341,0.119058
3660,-9.34,0.119058
3661,-9.339,0.119058
3662,-9.338,0.119058
3663,-9.337,0.119058
3664,-9.336,0.119058
3665,-9.335,0.119058
3666,-9.334,0.119058
3667,-9.333,0.119058
3668,-9.332,0.119058
3669,-9.331,0.119058
3670,-9.33,0.119058
3671,-9.329,0.119058
3672,-9.328,0.119058
3673,-9.327,0.119058
3674,-9.326,0.119058
3675,-9.325,0.119058
3676,-9.324,0.119058
3677,-9.323,0.119058
3678,-9.322,0.119058
3679,-9.321,0.119058
3680,-9.32,0.119058
3681,-9.319,0.119058
3682,-9.318,0.119058
3683,-9.317,0.119058
3684,-9.316,0.119058
3685,-9.315,0.119058
3686,-9.314,0.119058
3687,-9.313,0.119058
3688,-9.312,0.119058
3689,-9.311,0.119058
3690,-9.31,0.119058
3691,-9.309,0.119058
3692,-9.308,0.119058
3693,-9.307,0.119058
3694,-9.306,0.119058
3695,-9.305,0.119058
3696,-9.304,0.119058
3697,-9.303,0.119058
3698,-9.302,0.119058
3699,-9.301,0.119058
3700,-9.3,0.119058
3701,-9.299,0.119058
3702,-9.298,0.119058
3703,-9.297,0.119058
3704,-9.296,0.119058
3705,-9.295,0.119058
3706,-9.294,0.119058
3707,-9.293,0.119058
3708,-9.292,0.119058
3709,-9.291,0.119058
3710,-9.29,0.119058
3711,-9.289,0.119058
3712,-9.288,0.119058
3713,-9.287,0.119058
3714,-9.286,0.119058
3715,-9.285,0.119058
3716,-9.284,0.119058
3717,-9.283,0.119058
3718,-9.282,0.119058
3719,-9.281,0.119058
3720,-9.28,0.119058
3721,-9.279,0.119058
3722,-9.278,0.119058
3723,-9.277,0.119058
3724,-9.276,0.119058
3725,-9.275,0.119058
3726,-9.274,0.119058
3727,-9.273,0.119058
3728,-9.272,0.119058
3729,-9.271,0.119058
3730,-9.27,0.119058
3731,-9.269,0.119058
3732,-9.268,0.119058
3733,-9.267,0.119058
3734,-9.266,0.119058
3735,-9.265,0.119058
3736,-9.264,0.119058
3737,-9.263,0.119058
3738,-9.262,0.119058
3739,-9.261,0.119058
3740,-9.26,0.119058
3741,-9.259,0.119058
3742,-9.258,0.119058
3743,-9.257,0.119058
3744,-9.256,0.119058
3745,-9.255,0.119058
3746,-9.254,0.119058
3747,-9.253,0.119058
3748,-9.252,0.119058
3749,-9.251,0.119058
3750,-9.25,0.119058
3751,-9.249,0.119058
3752,-9.248,0.119058
3753,-9.247,0.119058
3754,-9.246,0.119058
3755,-9.245,0.119058
3756,-9.244,0.119058
3757,-9.243,0.119058
3758,-9.242,0.119058
3759,-9.241,0.119058
3760,-9.24,0.119058
3761,-9.239,0.119058
3762,-9.238,0.119058
3763,-9.237,0.119058
3764,-9.236,0.119058
3765,-9.235,0.119058
3766,-9.234,0.119058
3767,-9.233,0.119058
3768,-9.232,0.119058
3769,-9.231,0.119058
3770,-9.23,0.119058
3771,-9.229,0.119058
3772,-9.228,0.119058
3773,-9.227,0.119058
3774,-9.226,0.119058
3775,-9.225,0.119058
3776,-9.224,0.119058
3777,-9.223,0.119058
3778,-9.222,0.119058
3779,-9.221,0.119058
3780,-9.22,0.119058
3781,-9.219,0.119058
3782,-9.218,0.119058
3783,-9.217,0.119058
3784,-9.216,0.119058
3785,-9.215,0.119058
3786,-9.214,0.119058
3787,-9.213,0.119058
3788,-9.212,0.119058
3789,-9.211,0.119058
3790,-9.21,0.119058
3791,-9.209,0.119058
3792,-9.208,0.119058
3793,-9.207,0.119058
3794,-9.206,0.119058
3795,-9.205,0.119058
3796,-9.204,0.119058
3797,-9.203,0.119058
3798,-9.202,0.119058
3799,-9.201,0.119058
3800,-9.2,0.119058
3801,-9.199,0.119058
3802,-9.198,0.119058
3803,-9.197,0.119058
3804,-9.196,0.119058
3805,-9.195,0.119058
