;Scopy version,f4beeb1
;Exported on,lundi octobre 13/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
162,-1.841,0.125841,-0.00538096
163,-1.84,0.125841,-0.00538096
164,-1.839,0.125841,-0.00364211
165,-1.838,0.125841,-0.00364211
166,-1.837,0.125841,-0.00364211
167,-1.836,0.125841,-0.00364211
168,-1.835,0.125841,-0.00364211
169,-1.834,0.125841,-0.00364211
170,-1.833,0.125841,-0.00364211
171,-1.832,0.125841,-0.00364211
172,-1.831,0.125841,-0.00364211
173,-1.83,0.125841,-0.00364211
174,-1.829,0.125841,-0.00364211
175,-1.828,0.125841,-0.00364211
176,-1.827,0.125841,-0.00364211
177,-1.826,0.125841,-0.00538096
178,-1.825,0.125841,-0.00538096
179,-1.824,0.125841,-0.00538096
180,-1.823,0.125841,-0.00538096
181,-1.822,0.125841,-0.00538096
182,-1.821,0.125841,-0.00538096
183,-1.82,0.125841,-0.00364211
184,-1.819,0.125841,-0.00364211
185,-1.818,0.125841,-0.00364211
186,-1.817,0.125841,-0.00364211
187,-1.816,0.125841,-0.00364211
188,-1.815,0.125841,-0.00364211
189,-1.814,0.125841,-0.00364211
190,-1.813,0.125841,-0.00364211
191,-1.812,0.125841,-0.00364211
192,-1.811,0.125841,-0.00364211
193,-1.81,0.125841,-0.00364211
194,-1.809,0.125841,-0.00364211
195,-1.808,0.125841,-0.00364211
196,-1.807,0.125841,-0.00364211
197,-1.806,0.125841,-0.00538096
198,-1.805,0.125841,-0.00538096
199,-1.804,0.125841,-0.00538096
200,-1.803,0.125841,-0.00538096
201,-1.802,0.125841,-0.00538096
202,-1.801,0.125841,-0.00538096
203,-1.8,0.125841,-0.00538096
204,-1.799,0.125841,-0.00364211
205,-1.798,0.125841,-0.00364211
206,-1.797,0.125841,-0.00364211
207,-1.796,0.125841,-0.00364211
208,-1.795,0.125841,-0.00364211
209,-1.794,0.125841,-0.00364211
210,-1.793,0.125841,-0.00364211
211,-1.792,0.125841,-0.00364211
212,-1.791,0.125841,-0.00364211
213,-1.79,0.125841,-0.00364211
214,-1.789,0.125841,-0.00364211
215,-1.788,0.125841,-0.00364211
216,-1.787,0.125841,-0.00364211
217,-1.786,0.125841,-0.00538096
218,-1.785,0.125841,-0.00538096
219,-1.784,0.125841,-0.00538096
220,-1.783,0.125841,-0.00538096
221,-1.782,0.125841,-0.00538096
222,-1.781,0.125841,-0.00538096
223,-1.78,0.125841,-0.00538096
224,-1.779,0.125841,-0.00538096
225,-1.778,0.125841,-0.00364211
226,-1.777,0.125841,-0.00364211
227,-1.776,0.125841,-0.00364211
228,-1.775,0.125841,-0.00364211
229,-1.774,0.125841,-0.00364211
230,-1.773,0.125841,-0.00364211
231,-1.772,0.125841,-0.00364211
232,-1.771,0.125841,-0.00364211
233,-1.77,0.125841,-0.00364211
234,-1.769,0.125841,-0.00364211
235,-1.768,0.125841,-0.00364211
236,-1.767,0.125841,-0.00364211
237,-1.766,0.125841,-0.00538096
238,-1.765,0.125841,-0.00538096
239,-1.764,0.125841,-0.00538096
240,-1.763,0.125841,-0.00538096
241,-1.762,0.125841,-0.00538096
242,-1.761,0.125841,-0.00364211
243,-1.76,0.125841,-0.00364211
244,-1.759,0.125841,-0.00364211
245,-1.758,0.125841,-0.00364211
246,-1.757,0.125841,-0.00364211
247,-1.756,0.125841,-0.00364211
248,-1.755,0.125841,-0.00364211
249,-1.754,0.125841,-0.00364211
250,-1.753,0.125841,-0.00364211
251,-1.752,0.125841,-0.00364211
252,-1.751,0.125841,-0.00364211
253,-1.75,0.125841,-0.00364211
254,-1.749,0.125841,-0.00364211
255,-1.748,0.125841,-0.00364211
256,-1.747,0.125841,-0.00364211
257,-1.746,0.125841,-0.00538096
258,-1.745,0.125841,-0.00538096
259,-1.744,0.125841,-0.00538096
260,-1.743,0.125841,-0.00538096
261,-1.742,0.125841,-0.00538096
262,-1.741,0.125841,-0.00538096
263,-1.74,0.125841,-0.00538096
264,-1.739,0.125841,-0.00538096
265,-1.738,0.125841,-0.00364211
266,-1.737,0.125841,-0.00364211
267,-1.736,0.125841,-0.00364211
268,-1.735,0.125841,-0.00364211
269,-1.734,0.125841,-0.00364211
270,-1.733,0.125841,-0.00364211
271,-1.732,0.125841,-0.00364211
272,-1.731,0.125841,-0.00364211
273,-1.73,0.125841,-0.00364211
274,-1.729,0.125841,-0.00364211
275,-1.728,0.125841,-0.00364211
276,-1.727,0.125841,-0.00364211
277,-1.726,0.125841,-0.00538096
278,-1.725,0.125841,-0.00538096
279,-1.724,0.125841,-0.00538096
280,-1.723,0.125841,-0.00538096
281,-1.722,0.125841,-0.00538096
282,-1.721,0.125841,-0.00538096
283,-1.72,0.125841,-0.00538096
