0.000000000000000000e+00	4.940249999999999919e-01	1.000000000000000000e+00	1.665294034513983140e-02	3.738881186264148369e+02	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	4.882024999999999837e-01	1.000000000000000000e+00	1.348180493412898077e-02	3.782150370903437988e+02	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	4.786100000000000354e-01	1.000000000000000000e+00	1.072645998033235418e-02	3.684606259069617522e+02	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	4.543225000000000180e-01	1.000000000000000000e+00	8.052522231539504041e-03	3.381979152434267917e+02	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000000000e+00	4.241099999999999870e-01	1.000000000000000000e+00	6.561201931638879770e-03	3.218260260315346954e+02	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000000000e+00	3.618925000000000058e-01	1.000000000000000000e+00	5.446333081035404332e-03	2.802371026804803478e+02	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000000000e+00	3.069125000000000325e-01	1.000000000000000000e+00	4.575429990397343778e-03	2.577736634991055098e+02	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000000000e+00	2.488474999999999993e-01	1.000000000000000000e+00	3.879429709635847257e-03	2.085563286470829212e+02	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	2.027825000000000044e-01	1.000000000000000000e+00	3.314631842046157802e-03	1.844035846485909644e+02	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000000000e+00	1.513400000000000023e-01	1.000000000000000000e+00	2.850931906257519674e-03	1.506428206263080369e+02	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	1.284600000000000186e-01	1.000000000000000000e+00	2.466383504449934025e-03	1.322206317816927879e+02	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000000000e+01	9.349500000000000866e-02	1.000000000000000000e+00	2.144503232088642436e-03	1.078062245999738735e+02	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	7.706749999999999712e-02	1.000000000000000000e+00	1.872734513614382392e-03	8.691554413624758979e+01	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000000000e+01	6.748500000000000332e-02	9.859999999999999876e-01	1.641435678396486455e-03	1.026148990156888345e+02	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000000000e+01	4.779999999999999527e-02	8.479999999999999760e-01	1.443153350553763505e-03	9.629523839474107660e+01	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	4.372000000000000192e-02	6.219999999999999973e-01	1.272083026955043474e-03	9.429859175114982861e+01	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	3.396000000000000407e-02	4.600000000000000200e-01	1.123665432245767645e-03	7.611178764652692053e+01	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	2.238749999999999768e-02	3.300000000000000155e-01	9.942845950155626555e-04	4.928688371412808067e+01	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	1.569500000000000062e-02	2.340000000000000135e-01	8.810424302423501683e-04	2.458548797054881874e+01	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	8.862500000000000586e-03	1.600000000000000033e-01	7.815906215653832317e-04	1.941645162613395570e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	5.217499999999999916e-03	8.400000000000000522e-02	6.940051912515832894e-04	1.205839308324288517e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	1.185000000000000072e-03	4.399999999999999745e-02	6.166927318335511813e-04	1.176594662575016353e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	2.900000000000000017e-04	1.600000000000000033e-02	5.483200498448855247e-04	1.010878330957796362e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	3.250000000000000393e-05	8.000000000000000167e-03	4.877610939245101722e-04	9.253377761660883105e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.340566417887139084e-04	8.605957239029232708e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.863834182962870025e-04	8.642193008721904546e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.440302048321738438e-04	8.587782018658828009e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.063791542567881310e-04	8.551315688243607549e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.728910048689141233e-04	8.514693182963302409e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.430932365754907495e-04	8.477912478906766969e-02	0.000000000000000000e+00	0.000000000000000000e+00
