;Scopy version,f4beeb1
;Exported on,mardirier 24/02/2026
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
258,-4.022,0.14423
259,-4.021,0.14423
260,-4.02,0.14423
261,-4.019,0.14423
262,-4.018,0.14423
263,-4.017,0.14423
264,-4.016,0.14423
265,-4.015,0.14423
266,-4.014,0.14423
267,-4.013,0.14423
268,-4.012,0.14423
269,-4.011,0.14423
270,-4.01,0.14423
271,-4.009,0.14423
272,-4.008,0.14423
273,-4.007,0.14423
274,-4.006,0.14423
275,-4.005,0.14423
276,-4.004,0.14423
277,-4.003,0.14423
278,-4.002,0.14423
279,-4.001,0.14423
280,-4,0.14423
281,-3.999,0.14423
282,-3.998,0.14423
283,-3.997,0.14423
284,-3.996,0.14423
285,-3.995,0.14423
286,-3.994,0.14423
287,-3.993,0.14423
288,-3.992,0.14423
289,-3.991,0.14423
290,-3.99,0.14423
291,-3.989,0.14423
292,-3.988,0.14423
293,-3.987,0.14423
294,-3.986,0.14423
295,-3.985,0.14423
296,-3.984,0.145969
297,-3.983,0.145969
298,-3.982,0.172052
299,-3.981,0.283338
300,-3.98,0.300727
301,-3.979,0.283338
302,-3.978,0.184224
303,-3.977,0.149447
304,-3.976,0.147708
305,-3.975,0.14423
306,-3.974,0.14423
307,-3.973,0.14423
308,-3.972,0.14423
309,-3.971,0.14423
310,-3.97,0.14423
311,-3.969,0.14423
312,-3.968,0.14423
313,-3.967,0.14423
314,-3.966,0.14423
315,-3.965,0.14423
316,-3.964,0.14423
317,-3.963,0.14423
318,-3.962,0.14423
319,-3.961,0.14423
320,-3.96,0.14423
321,-3.959,0.14423
322,-3.958,0.14423
323,-3.957,0.14423
324,-3.956,0.14423
325,-3.955,0.14423
326,-3.954,0.14423
327,-3.953,0.14423
328,-3.952,0.14423
329,-3.951,0.14423
330,-3.95,0.14423
331,-3.949,0.14423
332,-3.948,0.14423
333,-3.947,0.14423
334,-3.946,0.14423
335,-3.945,0.14423
336,-3.944,0.14423
337,-3.943,0.14423
338,-3.942,0.14423
339,-3.941,0.14423
340,-3.94,0.14423
341,-3.939,0.14423
342,-3.938,0.14423
343,-3.937,0.14423
344,-3.936,0.14423
345,-3.935,0.14423
346,-3.934,0.14423
347,-3.933,0.14423
348,-3.932,0.14423
349,-3.931,0.14423
350,-3.93,0.14423
351,-3.929,0.14423
352,-3.928,0.14423
353,-3.927,0.14423
354,-3.926,0.14423
355,-3.925,0.14423
356,-3.924,0.14423
357,-3.923,0.14423
358,-3.922,0.14423
359,-3.921,0.14423
360,-3.92,0.14423
361,-3.919,0.14423
362,-3.918,0.14423
363,-3.917,0.14423
364,-3.916,0.14423
365,-3.915,0.14423
366,-3.914,0.14423
367,-3.913,0.14423
368,-3.912,0.14423
369,-3.911,0.14423
370,-3.91,0.14423
371,-3.909,0.145969
372,-3.908,0.145969
373,-3.907,0.168574
374,-3.906,0.281599
375,-3.905,0.302465
376,-3.904,0.283338
377,-3.903,0.185962
378,-3.902,0.151185
379,-3.901,0.147708
380,-3.9,0.14423
381,-3.899,0.14423
382,-3.898,0.14423
383,-3.897,0.14423
384,-3.896,0.14423
385,-3.895,0.14423
386,-3.894,0.14423
387,-3.893,0.14423
388,-3.892,0.14423
389,-3.891,0.14423
390,-3.89,0.14423
391,-3.889,0.14423
392,-3.888,0.14423
393,-3.887,0.14423
394,-3.886,0.14423
395,-3.885,0.14423
396,-3.884,0.14423
397,-3.883,0.14423
398,-3.882,0.14423
399,-3.881,0.14423
400,-3.88,0.14423
401,-3.879,0.14423
402,-3.878,0.14423
403,-3.877,0.14423
404,-3.876,0.14423
405,-3.875,0.14423
406,-3.874,0.14423
407,-3.873,0.14423
408,-3.872,0.14423
409,-3.871,0.14423
410,-3.87,0.14423
411,-3.869,0.14423
412,-3.868,0.14423
413,-3.867,0.14423
414,-3.866,0.14423
415,-3.865,0.14423
416,-3.864,0.14423
417,-3.863,0.14423
418,-3.862,0.14423
419,-3.861,0.14423
420,-3.86,0.14423
421,-3.859,0.14423
422,-3.858,0.14423
423,-3.857,0.14423
424,-3.856,0.14423
425,-3.855,0.14423
426,-3.854,0.14423
427,-3.853,0.14423
428,-3.852,0.14423
429,-3.851,0.14423
430,-3.85,0.14423
431,-3.849,0.14423
