;Scopy version,f4beeb1
;Exported on,mardi fvrier 24/02/2026
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
258,-1.342,0.210993
259,-1.341,0.210993
260,-1.34,0.210993
261,-1.339,0.210993
262,-1.338,0.210993
263,-1.337,0.210993
264,-1.336,0.210993
265,-1.335,0.210993
266,-1.334,0.210993
267,-1.333,0.214471
268,-1.332,0.214471
269,-1.331,0.393573
270,-1.33,0.42835
271,-1.329,0.292719
272,-1.328,0.219688
273,-1.327,0.210993
274,-1.326,0.210993
275,-1.325,0.210993
276,-1.324,0.210993
277,-1.323,0.210993
278,-1.322,0.210993
279,-1.321,0.210993
280,-1.32,0.210993
281,-1.319,0.210993
282,-1.318,0.210993
283,-1.317,0.210993
284,-1.316,0.210993
285,-1.315,0.210993
286,-1.314,0.210993
287,-1.313,0.210993
288,-1.312,0.210993
289,-1.311,0.210993
290,-1.31,0.210993
291,-1.309,0.210993
292,-1.308,0.210993
293,-1.307,0.210993
294,-1.306,0.210993
295,-1.305,0.210993
296,-1.304,0.210993
297,-1.303,0.210993
298,-1.302,0.210993
299,-1.301,0.210993
300,-1.3,0.210993
301,-1.299,0.210993
302,-1.298,0.210993
303,-1.297,0.210993
304,-1.296,0.210993
305,-1.295,0.210993
306,-1.294,0.210993
307,-1.293,0.210993
308,-1.292,0.210993
309,-1.291,0.210993
310,-1.29,0.210993
311,-1.289,0.210993
312,-1.288,0.210993
313,-1.287,0.210993
314,-1.286,0.210993
315,-1.285,0.210993
316,-1.284,0.210993
317,-1.283,0.214471
318,-1.282,0.21621
319,-1.281,0.395312
320,-1.28,0.430089
321,-1.279,0.290981
322,-1.278,0.219688
323,-1.277,0.210993
324,-1.276,0.210993
325,-1.275,0.210993
326,-1.274,0.210993
327,-1.273,0.210993
328,-1.272,0.210993
329,-1.271,0.210993
330,-1.27,0.210993
331,-1.269,0.210993
332,-1.268,0.210993
333,-1.267,0.210993
334,-1.266,0.210993
335,-1.265,0.210993
336,-1.264,0.210993
337,-1.263,0.210993
338,-1.262,0.210993
339,-1.261,0.210993
340,-1.26,0.210993
341,-1.259,0.210993
342,-1.258,0.210993
343,-1.257,0.210993
344,-1.256,0.210993
345,-1.255,0.210993
346,-1.254,0.210993
347,-1.253,0.210993
348,-1.252,0.210993
349,-1.251,0.210993
350,-1.25,0.210993
351,-1.249,0.210993
352,-1.248,0.210993
353,-1.247,0.210993
354,-1.246,0.210993
355,-1.245,0.210993
356,-1.244,0.210993
357,-1.243,0.210993
358,-1.242,0.210993
359,-1.241,0.210993
360,-1.24,0.210993
361,-1.239,0.210993
362,-1.238,0.210993
363,-1.237,0.210993
364,-1.236,0.210993
365,-1.235,0.210993
366,-1.234,0.210993
367,-1.233,0.214471
368,-1.232,0.21621
369,-1.231,0.393573
370,-1.23,0.42835
371,-1.229,0.289242
372,-1.228,0.219688
373,-1.227,0.212732
374,-1.226,0.210993
375,-1.225,0.210993
376,-1.224,0.210993
377,-1.223,0.210993
378,-1.222,0.210993
379,-1.221,0.210993
380,-1.22,0.210993
381,-1.219,0.210993
382,-1.218,0.210993
383,-1.217,0.210993
384,-1.216,0.210993
385,-1.215,0.210993
386,-1.214,0.210993
387,-1.213,0.210993
388,-1.212,0.210993
389,-1.211,0.210993
390,-1.21,0.210993
391,-1.209,0.210993
392,-1.208,0.210993
393,-1.207,0.210993
394,-1.206,0.210993
395,-1.205,0.210993
396,-1.204,0.210993
397,-1.203,0.210993
398,-1.202,0.210993
399,-1.201,0.210993
400,-1.2,0.210993
401,-1.199,0.210993
402,-1.198,0.210993
403,-1.197,0.210993
404,-1.196,0.210993
405,-1.195,0.210993
406,-1.194,0.210993
407,-1.193,0.210993
408,-1.192,0.210993
409,-1.191,0.210993
410,-1.19,0.210993
411,-1.189,0.210993
412,-1.188,0.210993
413,-1.187,0.210993
414,-1.186,0.210993
415,-1.185,0.210993
416,-1.184,0.210993
417,-1.183,0.214471
418,-1.182,0.21621
419,-1.181,0.39705
420,-1.18,0.42835
421,-1.179,0.289242
422,-1.178,0.221427
423,-1.177,0.210993
424,-1.176,0.210993
425,-1.175,0.210993
426,-1.174,0.210993
427,-1.173,0.210993
428,-1.172,0.210993
429,-1.171,0.210993
430,-1.17,0.210993
431,-1.169,0.210993
432,-1.168,0.210993
433,-1.167,0.210993
434,-1.166,0.210993
435,-1.165,0.210993
436,-1.164,0.210993
437,-1.163,0.210993
438,-1.162,0.210993
439,-1.161,0.210993
440,-1.16,0.210993
441,-1.159,0.210993
442,-1.158,0.210993
443,-1.157,0.210993
444,-1.156,0.210993
445,-1.155,0.210993
446,-1.154,0.210993
447,-1.153,0.210993
448,-1.152,0.210993
449,-1.151,0.210993
450,-1.15,0.210993
451,-1.149,0.210993
452,-1.148,0.210993
453,-1.147,0.210993
454,-1.146,0.210993
455,-1.145,0.210993
456,-1.144,0.210993
457,-1.143,0.210993
458,-1.142,0.210993
459,-1.141,0.210993
460,-1.14,0.210993
461,-1.139,0.210993
462,-1.138,0.210993
463,-1.137,0.210993
464,-1.136,0.210993
465,-1.135,0.210993
466,-1.134,0.210993
467,-1.133,0.214471
468,-1.132,0.21621
469,-1.131,0.39705
470,-1.13,0.426611
471,-1.129,0.285764
472,-1.128,0.219688
473,-1.127,0.212732
474,-1.126,0.210993
475,-1.125,0.210993
476,-1.124,0.210993
477,-1.123,0.210993
478,-1.122,0.210993
479,-1.121,0.210993
480,-1.12,0.210993
481,-1.119,0.210993
482,-1.118,0.210993
483,-1.117,0.210993
484,-1.116,0.210993
485,-1.115,0.210993
486,-1.114,0.210993
487,-1.113,0.210993
488,-1.112,0.210993
489,-1.111,0.210993
490,-1.11,0.210993
491,-1.109,0.210993
492,-1.108,0.210993
493,-1.107,0.210993
494,-1.106,0.210993
495,-1.105,0.210993
496,-1.104,0.210993
497,-1.103,0.210993
498,-1.102,0.210993
499,-1.101,0.210993
500,-1.1,0.210993
501,-1.099,0.210993
502,-1.098,0.210993
503,-1.097,0.210993
504,-1.096,0.210993
505,-1.095,0.210993
506,-1.094,0.210993
507,-1.093,0.210993
508,-1.092,0.210993
509,-1.091,0.210993
510,-1.09,0.210993
511,-1.089,0.210993
512,-1.088,0.210993
513,-1.087,0.210993
514,-1.086,0.210993
515,-1.085,0.210993
516,-1.084,0.210993
517,-1.083,0.212732
518,-1.082,0.219688
519,-1.081,0.395312
520,-1.08,0.417917
521,-1.079,0.410961
522,-1.078,0.437044
523,-1.077,0.438783
524,-1.076,0.440522
525,-1.075,0.437044
526,-1.074,0.442261
527,-1.073,0.437044
528,-1.072,0.442261
529,-1.071,0.438783
530,-1.07,0.440522
531,-1.069,0.440522
532,-1.068,0.440522
533,-1.067,0.438783
534,-1.066,0.440522
535,-1.065,0.438783
536,-1.064,0.440522
537,-1.063,0.438783
538,-1.062,0.438783
539,-1.061,0.438783
540,-1.06,0.438783
541,-1.059,0.438783
542,-1.058,0.438783
543,-1.057,0.438783
544,-1.056,0.438783
545,-1.055,0.438783
546,-1.054,0.438783
547,-1.053,0.438783
548,-1.052,0.438783
549,-1.051,0.438783
550,-1.05,0.438783
551,-1.049,0.440522
552,-1.048,0.438783
553,-1.047,0.440522
554,-1.046,0.438783
555,-1.045,0.440522
556,-1.044,0.438783
557,-1.043,0.442261
558,-1.042,0.437044
559,-1.041,0.440522
560,-1.04,0.421394
561,-1.039,0.381401
562,-1.038,0.390095
563,-1.037,0.384879
564,-1.036,0.390095
565,-1.035,0.388356
566,-1.034,0.388356
567,-1.033,0.388356
568,-1.032,0.388356
569,-1.031,0.391834
570,-1.03,0.384879
571,-1.029,0.391834
572,-1.028,0.384879
573,-1.027,0.390095
574,-1.026,0.388356
575,-1.025,0.388356
576,-1.024,0.388356
577,-1.023,0.388356
578,-1.022,0.391834
579,-1.021,0.384879
580,-1.02,0.390095
581,-1.019,0.388356
582,-1.018,0.388356
583,-1.017,0.388356
584,-1.016,0.388356
585,-1.015,0.391834
586,-1.014,0.384879
587,-1.013,0.391834
588,-1.012,0.388356
589,-1.011,0.388356
590,-1.01,0.388356
591,-1.009,0.388356
592,-1.008,0.388356
593,-1.007,0.388356
594,-1.006,0.391834
595,-1.005,0.384879
596,-1.004,0.391834
597,-1.003,0.388356
598,-1.002,0.388356
599,-1.001,0.388356
600,-1,0.388356
601,-0.999,0.391834
602,-0.998,0.384879
603,-0.997,0.391834
604,-0.996,0.388356
605,-0.995,0.388356
606,-0.994,0.388356
607,-0.993,0.388356
608,-0.992,0.388356
609,-0.991,0.388356
610,-0.99,0.391834
611,-0.989,0.384879
612,-0.988,0.391834
613,-0.987,0.388356
614,-0.986,0.388356
615,-0.985,0.388356
616,-0.984,0.388356
617,-0.983,0.390095
618,-0.982,0.384879
619,-0.981,0.391834
620,-0.98,0.384879
621,-0.979,0.390095
622,-0.978,0.388356
623,-0.977,0.388356
624,-0.976,0.390095
625,-0.975,0.384879
626,-0.974,0.391834
627,-0.973,0.384879
628,-0.972,0.391834
629,-0.971,0.388356
630,-0.97,0.388356
631,-0.969,0.388356
632,-0.968,0.388356
633,-0.967,0.391834
634,-0.966,0.384879
635,-0.965,0.391834
636,-0.964,0.384879
637,-0.963,0.390095
638,-0.962,0.388356
639,-0.961,0.388356
640,-0.96,0.388356
641,-0.959,0.388356
642,-0.958,0.391834
643,-0.957,0.384879
644,-0.956,0.391834
645,-0.955,0.388356
646,-0.954,0.388356
647,-0.953,0.388356
648,-0.952,0.388356
649,-0.951,0.391834
650,-0.95,0.384879
651,-0.949,0.388356
652,-0.948,0.433566
653,-0.947,0.33793
654,-0.946,0.219688
655,-0.945,0.210993
656,-0.944,0.207516
657,-0.943,0.207516
658,-0.942,0.207516
659,-0.941,0.207516
660,-0.94,0.207516
661,-0.939,0.207516
662,-0.938,0.207516
663,-0.937,0.207516
664,-0.936,0.207516
665,-0.935,0.207516
666,-0.934,0.207516
667,-0.933,0.207516
668,-0.932,0.202299
669,-0.931,0.282286
670,-0.93,0.287503
671,-0.929,0.214471
672,-0.928,0.209255
673,-0.927,0.207516
674,-0.926,0.207516
675,-0.925,0.207516
676,-0.924,0.207516
677,-0.923,0.207516
678,-0.922,0.207516
679,-0.921,0.207516
680,-0.92,0.207516
681,-0.919,0.207516
682,-0.918,0.207516
683,-0.917,0.210993
684,-0.916,0.214471
685,-0.915,0.343146
686,-0.914,0.217949
687,-0.913,0.209255
688,-0.912,0.209255
689,-0.911,0.207516
690,-0.91,0.207516
691,-0.909,0.207516
692,-0.908,0.207516
693,-0.907,0.207516
694,-0.906,0.207516
695,-0.905,0.207516
696,-0.904,0.207516
697,-0.903,0.207516
698,-0.902,0.209255
699,-0.901,0.197083
700,-0.9,0.334452
701,-0.899,0.242293
702,-0.898,0.210993
703,-0.897,0.207516
704,-0.896,0.207516
705,-0.895,0.207516
706,-0.894,0.207516
707,-0.893,0.207516
708,-0.892,0.207516
709,-0.891,0.207516
710,-0.89,0.207516
711,-0.889,0.207516
712,-0.888,0.207516
713,-0.887,0.207516
714,-0.886,0.205777
715,-0.885,0.264898
716,-0.884,0.301414
717,-0.883,0.214471
718,-0.882,0.209255
719,-0.881,0.207516
720,-0.88,0.207516
721,-0.879,0.207516
722,-0.878,0.207516
723,-0.877,0.207516
724,-0.876,0.207516
725,-0.875,0.207516
726,-0.874,0.207516
727,-0.873,0.207516
728,-0.872,0.207516
729,-0.871,0.210993
730,-0.87,0.205777
731,-0.869,0.350102
732,-0.868,0.221427
733,-0.867,0.210993
734,-0.866,0.207516
735,-0.865,0.207516
736,-0.864,0.207516
737,-0.863,0.207516
738,-0.862,0.207516
739,-0.861,0.207516
740,-0.86,0.207516
741,-0.859,0.207516
742,-0.858,0.207516
743,-0.857,0.207516
744,-0.856,0.209255
745,-0.855,0.197083
746,-0.854,0.325758
747,-0.853,0.252726
748,-0.852,0.214471
749,-0.851,0.207516
750,-0.85,0.207516
751,-0.849,0.207516
752,-0.848,0.207516
753,-0.847,0.207516
754,-0.846,0.207516
755,-0.845,0.207516
756,-0.844,0.207516
757,-0.843,0.207516
758,-0.842,0.207516
759,-0.841,0.207516
760,-0.84,0.209255
761,-0.839,0.24577
762,-0.838,0.315325
763,-0.837,0.21621
764,-0.836,0.209255
765,-0.835,0.207516
766,-0.834,0.207516
767,-0.833,0.207516
768,-0.832,0.207516
769,-0.831,0.207516
770,-0.83,0.207516
771,-0.829,0.207516
772,-0.828,0.207516
773,-0.827,0.207516
774,-0.826,0.207516
775,-0.825,0.209255
776,-0.824,0.210993
777,-0.823,0.247509
778,-0.822,0.209255
779,-0.821,0.207516
780,-0.82,0.212732
781,-0.819,0.214471
782,-0.818,0.207516
783,-0.817,0.207516
784,-0.816,0.207516
785,-0.815,0.209255
786,-0.814,0.238815
787,-0.813,0.381401
788,-0.812,0.395312
789,-0.811,0.39705
790,-0.81,0.39705
791,-0.809,0.39705
792,-0.808,0.39705
793,-0.807,0.39705
794,-0.806,0.39705
795,-0.805,0.39705
796,-0.804,0.39705
797,-0.803,0.39705
798,-0.802,0.39705
799,-0.801,0.395312
800,-0.8,0.398789
801,-0.799,0.257942
802,-0.798,0.21621
803,-0.797,0.212732
