;Scopy version,f4beeb1
;Exported on,mardi fevrier 24/02/2026
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
258,-1.342,0.209255
259,-1.341,0.209255
260,-1.34,0.209255
261,-1.339,0.209255
262,-1.338,0.209255
263,-1.337,0.209255
264,-1.336,0.209255
265,-1.335,0.209255
266,-1.334,0.209255
267,-1.333,0.209255
268,-1.332,0.209255
269,-1.331,0.209255
270,-1.33,0.209255
271,-1.329,0.209255
272,-1.328,0.209255
273,-1.327,0.209255
274,-1.326,0.209255
275,-1.325,0.209255
276,-1.324,0.209255
277,-1.323,0.209255
278,-1.322,0.209255
279,-1.321,0.209255
280,-1.32,0.209255
281,-1.319,0.209255
282,-1.318,0.209255
283,-1.317,0.210993
284,-1.316,0.217949
285,-1.315,0.395312
286,-1.314,0.416178
287,-1.313,0.407484
288,-1.312,0.438783
289,-1.311,0.440522
290,-1.31,0.442261
291,-1.309,0.438783
292,-1.308,0.442261
293,-1.307,0.442261
294,-1.306,0.442261
295,-1.305,0.442261
296,-1.304,0.442261
297,-1.303,0.442261
298,-1.302,0.442261
299,-1.301,0.442261
300,-1.3,0.442261
301,-1.299,0.442261
302,-1.298,0.442261
303,-1.297,0.442261
304,-1.296,0.442261
305,-1.295,0.438783
306,-1.294,0.443999
307,-1.293,0.440522
308,-1.292,0.442261
309,-1.291,0.440522
310,-1.29,0.442261
311,-1.289,0.440522
312,-1.288,0.442261
313,-1.287,0.440522
314,-1.286,0.442261
315,-1.285,0.442261
316,-1.284,0.442261
317,-1.283,0.442261
318,-1.282,0.442261
319,-1.281,0.442261
320,-1.28,0.442261
321,-1.279,0.440522
322,-1.278,0.442261
323,-1.277,0.440522
324,-1.276,0.442261
325,-1.275,0.440522
326,-1.274,0.443999
327,-1.273,0.398789
328,-1.272,0.407484
329,-1.271,0.424872
330,-1.27,0.384879
331,-1.269,0.224904
332,-1.268,0.209255
333,-1.267,0.205777
334,-1.266,0.205777
335,-1.265,0.205777
336,-1.264,0.205777
337,-1.263,0.205777
338,-1.262,0.205777
339,-1.261,0.202299
340,-1.26,0.202299
341,-1.259,0.202299
342,-1.258,0.202299
343,-1.257,0.202299
344,-1.256,0.202299
345,-1.255,0.207516
346,-1.254,0.233599
347,-1.253,0.324019
348,-1.252,0.214471
349,-1.251,0.205777
350,-1.25,0.205777
351,-1.249,0.205777
352,-1.248,0.202299
353,-1.247,0.207516
354,-1.246,0.202299
355,-1.245,0.205777
356,-1.244,0.207516
357,-1.243,0.202299
358,-1.242,0.202299
359,-1.241,0.205777
360,-1.24,0.205777
361,-1.239,0.195344
362,-1.238,0.346624
363,-1.237,0.230121
364,-1.236,0.209255
365,-1.235,0.207516
366,-1.234,0.202299
367,-1.233,0.202299
368,-1.232,0.202299
369,-1.231,0.202299
370,-1.23,0.202299
371,-1.229,0.202299
372,-1.228,0.202299
373,-1.227,0.202299
374,-1.226,0.202299
375,-1.225,0.205777
376,-1.224,0.198821
377,-1.223,0.292719
378,-1.222,0.273592
379,-1.221,0.210993
380,-1.22,0.207516
381,-1.219,0.205777
382,-1.218,0.202299
383,-1.217,0.202299
384,-1.216,0.202299
385,-1.215,0.202299
386,-1.214,0.202299
387,-1.213,0.202299
388,-1.212,0.202299
389,-1.211,0.202299
390,-1.21,0.202299
391,-1.209,0.207516
392,-1.208,0.221427
393,-1.207,0.332713
394,-1.206,0.21621
395,-1.205,0.207516
396,-1.204,0.205777
397,-1.203,0.205777
398,-1.202,0.202299
399,-1.201,0.202299
400,-1.2,0.202299
401,-1.199,0.202299
402,-1.198,0.202299
403,-1.197,0.202299
404,-1.196,0.202299
405,-1.195,0.202299
406,-1.194,0.205777
407,-1.193,0.193605
408,-1.192,0.339668
409,-1.191,0.235337
410,-1.19,0.209255
411,-1.189,0.205777
412,-1.188,0.205777
413,-1.187,0.202299
414,-1.186,0.202299
415,-1.185,0.202299
416,-1.184,0.202299
417,-1.183,0.202299
418,-1.182,0.202299
419,-1.181,0.202299
420,-1.18,0.202299
421,-1.179,0.205777
422,-1.178,0.20056
423,-1.177,0.27707
424,-1.176,0.285764
425,-1.175,0.212732
426,-1.174,0.207516
427,-1.173,0.205777
428,-1.172,0.202299
429,-1.171,0.202299
430,-1.17,0.202299
431,-1.169,0.202299
432,-1.168,0.202299
433,-1.167,0.202299
434,-1.166,0.202299
435,-1.165,0.202299
436,-1.164,0.202299
437,-1.163,0.207516
438,-1.162,0.210993
439,-1.161,0.343146
440,-1.16,0.217949
441,-1.159,0.207516
442,-1.158,0.207516
443,-1.157,0.202299
444,-1.156,0.202299
445,-1.155,0.202299
446,-1.154,0.202299
447,-1.153,0.202299
448,-1.152,0.202299
449,-1.151,0.202299
450,-1.15,0.202299
451,-1.149,0.202299
452,-1.148,0.202299
453,-1.147,0.20056
454,-1.146,0.252726
455,-1.145,0.209255
456,-1.144,0.205777
457,-1.143,0.205777
458,-1.142,0.21621
459,-1.141,0.205777
